id,label
2.19E+17,1
2.59E+17,0
2.63E+17,2
2.55E+17,0
1.72E+17,0
2.56E+17,1
2.62E+17,1
2.64E+17,1
2.23E+17,0
2.64E+17,1
2.64E+17,2
2.59E+17,1
2.51E+17,2
1.96E+17,1
2.61E+17,1
2.63E+17,1
2.62E+17,0
2.57E+17,1
2.64E+17,1
2.41E+17,0
2.64E+17,1
2.60E+17,1
2.64E+17,1
1.78E+17,2
2.63E+17,1
2.64E+17,0
2.43E+17,0
2.63E+17,0
2.46E+17,2
2.47E+17,1
2.61E+17,1
2.43E+17,0
2.59E+17,2
2.63E+17,0
2.64E+17,0
2.46E+17,0
2.54E+17,2
2.59E+17,0
1.99E+17,2
2.64E+17,1
2.49E+17,0
2.61E+17,1
2.43E+17,1
2.64E+17,2
2.06E+17,0
2.63E+17,0
2.34E+17,1
2.64E+17,1
2.61E+17,0
2.57E+17,1
2.59E+17,1
2.61E+17,1
2.49E+17,1
2.64E+17,2
2.61E+17,1
2.63E+17,1
2.59E+17,0
2.61E+17,0
2.50E+17,0
2.64E+17,1
2.63E+17,1
2.54E+17,1
2.45E+17,0
2.58E+17,2
2.56E+17,2
2.64E+17,1
2.41E+17,0
2.64E+17,0
2.00E+17,1
2.55E+17,1
2.43E+17,1
2.53E+17,1
2.58E+17,2
2.64E+17,1
2.64E+17,1
2.63E+17,1
2.62E+17,0
2.43E+17,1
2.63E+17,0
2.62E+17,1
2.49E+17,0
1.94E+17,1
2.64E+17,2
2.64E+17,1
2.30E+17,1
1.74E+17,1
2.59E+17,0
2.59E+17,2
1.89E+17,0
2.51E+17,0
2.44E+17,2
2.64E+17,1
2.63E+17,1
2.64E+17,0
2.46E+17,0
2.62E+17,2
2.63E+17,0
2.49E+17,0
2.17E+17,0
2.61E+17,0
2.63E+17,1
2.08E+17,1
1.94E+17,2
2.64E+17,0
2.63E+17,1
2.13E+17,1
2.46E+17,2
1.94E+17,2
1.70E+17,1
2.48E+17,1
2.64E+17,0
2.64E+17,1
2.59E+17,0
2.64E+17,1
2.63E+17,0
2.19E+17,0
2.52E+17,0
2.62E+17,1
2.64E+17,0
2.59E+17,1
2.46E+17,1
2.63E+17,0
2.23E+17,0
2.41E+17,0
2.64E+17,0
2.64E+17,2
2.40E+17,0
2.64E+17,0
2.62E+17,1
2.63E+17,0
2.49E+17,0
2.25E+17,0
2.64E+17,1
2.64E+17,1
2.07E+17,1
2.53E+17,1
2.62E+17,1
2.62E+17,0
2.64E+17,0
2.53E+17,0
2.46E+17,0
2.58E+17,0
2.18E+17,1
2.59E+17,1
1.74E+17,0
2.64E+17,1
2.59E+17,1
2.64E+17,1
2.61E+17,1
2.61E+17,0
1.65E+17,1
2.64E+17,2
2.59E+17,0
2.56E+17,1
2.60E+17,1
2.64E+17,1
2.61E+17,1
2.49E+17,1
2.61E+17,0
2.57E+17,2
2.62E+17,0
2.59E+17,1
2.25E+17,1
2.59E+17,2
2.60E+17,1
2.39E+17,0
2.35E+17,0
2.63E+17,0
2.48E+17,1
2.64E+17,0
2.63E+17,1
2.64E+17,1
2.59E+17,0
2.52E+17,0
2.55E+17,0
2.59E+17,0
2.46E+17,0
2.64E+17,0
1.97E+17,1
1.74E+17,1
2.56E+17,1
2.64E+17,1
